Id,Building Class,Zoning Classification,Lot Frontage Length,Lot Area Square Feet,Road Type,Alley Access,Lot Shape,Land Contour,Utility Availability,Lot Configuration,Land Slope,Neighborhood Name,Primary Proximity Condition,Secondary Proximity Condition,Building Type,House Style,Overall Material Quality,Overall Condition Rating,Construction Year,Remodel Year,Roof Style,Roof Material,Primary Exterior Material,Secondary Exterior Material,Masonry Veneer Type,Masonry Veneer Area,Exterior Quality,Exterior Condition,Foundation Type,Basement Height Quality,Basement Condition,Basement Exposure Level,Basement Finish Type One,Basement Finished Area One,Basement Finish Type Two,Basement Finished Area Two,Basement Unfinished Area,Total Basement Area,Heating System,Heating Quality,Central Air Conditioning,Electrical System,First Floor Area,Second Floor Area,Low Quality Finished Area,Above Ground Living Area,Basement Full Bathrooms,Basement Half Bathrooms,Full Bathrooms,Half Bathrooms,Bedrooms Above Ground,Kitchens Above Ground,Kitchen Quality,Total Rooms Above Ground,Home Functionality,Number of Fireplaces,Fireplace Quality,Garage Type,Garage Construction Year,Garage Finish Level,Garage Capacity Cars,Garage Area Square Feet,Garage Quality,Garage Condition,Driveway Paving,Wood Deck Area,Open Porch Area,Enclosed Porch Area,Three Season Porch Area,Screen Porch Area,Pool Area,Pool Quality,Fence Type,Miscellaneous Feature,Miscellaneous Value,Month Sold,Year Sold,Sale Type,Sale Condition,House Sale Price
1,60,Residential Low Density,65.0,8450,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,Two story,7,5,2003,2003,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,706,Unfinished,0,150,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,0,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,,Attached to home,2003.0,Rough Finished,2,548,Typical Average,Typical Average,Yes,0,61,0,0,0,0,,,,0,2,2008,Warranty Deed - Conventional,Normal Sale,208500
2,20,Residential Low Density,80.0,9600,Paved Road,,Regular,Level,All Public Utilities,FR2,Gentle Slope,Veenker,Adjacent to feeder street,Normal,Single Family Detached,One story,6,8,1976,1976,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Cinder Block,Good,Typical Average,Good,Average Living Quarters,978,Unfinished,0,284,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,1,2,0,3,1,Typical Average,6,Typical Functionality,1,Typical Average,Attached to home,1976.0,Rough Finished,2,460,Typical Average,Typical Average,Yes,298,0,0,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,181500
3,60,Residential Low Density,68.0,11250,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,Two story,7,5,2001,2002,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,162.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Minimum Exposure,Good Living Quarters,486,Unfinished,0,434,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,0,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Typical Average,Attached to home,2001.0,Rough Finished,2,608,Typical Average,Typical Average,Yes,0,42,0,0,0,0,,,,0,9,2008,Warranty Deed - Conventional,Normal Sale,223500
4,70,Residential Low Density,60.0,9550,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,Crawford,Normal,Normal,Single Family Detached,Two story,7,5,1915,1970,Gable,Standard Composite Shingle,Wood Siding,Wd Shng,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Good,No Exposure,Average Living Quarters,216,Unfinished,0,540,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,0,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Good,Detached from home,1998.0,Unfinished,3,642,Typical Average,Typical Average,Yes,0,35,272,0,0,0,,,,0,2,2006,Warranty Deed - Conventional,Abnormal Sale,140000
5,60,Residential Low Density,84.0,14260,Paved Road,,Slightly Irregular,Level,All Public Utilities,FR2,Gentle Slope,Northridge,Normal,Normal,Single Family Detached,Two story,8,5,2000,2000,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,350.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Average Exposure,Good Living Quarters,655,Unfinished,0,490,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Typical Average,Attached to home,2000.0,Rough Finished,3,836,Typical Average,Typical Average,Yes,192,84,0,0,0,0,,,,0,12,2008,Warranty Deed - Conventional,Normal Sale,250000
6,50,Residential Low Density,85.0,14115,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Mitchell,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,5,5,1993,1995,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Wood,Good,Typical Average,No Exposure,Good Living Quarters,732,Unfinished,0,64,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,0,1362,1,0,1,1,1,1,Typical Average,5,Typical Functionality,0,,Attached to home,1993.0,Unfinished,2,480,Typical Average,Typical Average,Yes,40,30,0,320,0,0,,Minimum Privacy,Shed (over 100 SF),700,10,2009,Warranty Deed - Conventional,Normal Sale,143000
7,20,Residential Low Density,75.0,10084,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Single Family Detached,One story,8,5,2004,2005,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,186.0,Good,Typical Average,Poured Concrete,Excellent,Typical Average,Average Exposure,Good Living Quarters,1369,Unfinished,0,317,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2004.0,Rough Finished,2,636,Typical Average,Typical Average,Yes,255,57,0,0,0,0,,,,0,8,2007,Warranty Deed - Conventional,Normal Sale,307000
8,60,Residential Low Density,,10382,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,NWAmes,Near positive off-site feature,Normal,Single Family Detached,Two story,7,6,1973,1973,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Stone,240.0,Typical Average,Typical Average,Cinder Block,Good,Typical Average,Minimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,0,2090,1,0,2,1,3,1,Typical Average,7,Typical Functionality,2,Typical Average,Attached to home,1973.0,Rough Finished,2,484,Typical Average,Typical Average,Yes,235,204,228,0,0,0,,,Shed (over 100 SF),350,11,2009,Warranty Deed - Conventional,Normal Sale,200000
9,50,Residential Medium Density,51.0,6120,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Old Town,Adjacent to arterial street,Normal,Single Family Detached,One and one-half story: 2nd level finished,7,5,1931,1950,Gable,Standard Composite Shingle,Brick Face,Wd Shng,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box (Fair),1022,752,0,1774,0,0,2,0,2,2,Typical Average,8,Minor Deductions One,2,Typical Average,Detached from home,1931.0,Unfinished,2,468,Fair,Typical Average,Yes,90,0,205,0,0,0,,,,0,4,2008,Warranty Deed - Conventional,Abnormal Sale,129900
10,190,Residential Low Density,50.0,7420,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Brookside,Adjacent to arterial street,Adjacent to arterial street,Two Family Conversion,One and one-half story: 2nd level unfinished,5,6,1939,1950,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Good Living Quarters,851,Unfinished,0,140,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,0,1077,1,0,1,0,2,2,Typical Average,5,Typical Functionality,2,Typical Average,Attached to home,1939.0,Rough Finished,1,205,Good,Typical Average,Yes,0,4,0,0,0,0,,,,0,1,2008,Warranty Deed - Conventional,Normal Sale,118000
